iter	MultiLogloss
971	0.2644394838
972	0.2643716249
973	0.2643065376
974	0.2642211881
975	0.2641227237
976	0.2640716417
977	0.2640032381
978	0.2638987667
979	0.2638095563
980	0.2637578104
981	0.2637008355
982	0.2636330206
983	0.2635628858
984	0.2635013123
985	0.26345081
986	0.2633996083
987	0.2633637437
988	0.2632803238
989	0.2632087223
990	0.2631667777
991	0.2631183268
992	0.2630588009
993	0.2629987276
994	0.2629394752
995	0.2628837764
996	0.2628331315
997	0.2627383714
998	0.262701106
999	0.2626651574
